OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
258363;1;"{""coordinates"": [-0.3914040172818811, 39.44636881224284], ""type"": ""Point""}";39.44636881224284, -0.3914040172818811
258364;1;"{""coordinates"": [-0.3920629988538689, 39.46654914080261], ""type"": ""Point""}";39.46654914080261, -0.3920629988538689
258365;1;"{""coordinates"": [-0.3721871088780176, 39.450590238627065], ""type"": ""Point""}";39.450590238627065, -0.3721871088780176
258366;1;"{""coordinates"": [-0.38349465605799843, 39.46368712592946], ""type"": ""Point""}";39.46368712592946, -0.38349465605799843
258368;1;"{""coordinates"": [-0.3918434676747856, 39.4573320108796], ""type"": ""Point""}";39.4573320108796, -0.3918434676747856
258371;1;"{""coordinates"": [-0.40059495885640545, 39.45937423920516], ""type"": ""Point""}";39.45937423920516, -0.40059495885640545
258372;1;"{""coordinates"": [-0.3944995674195115, 39.457913189124554], ""type"": ""Point""}";39.457913189124554, -0.3944995674195115
258379;1;"{""coordinates"": [-0.33025674064816696, 39.46453666289225], ""type"": ""Point""}";39.46453666289225, -0.33025674064816696
258382;1;"{""coordinates"": [-0.3705599298925306, 39.438844123979415], ""type"": ""Point""}";39.438844123979415, -0.3705599298925306
258386;1;"{""coordinates"": [-0.4082930380567608, 39.46403533356796], ""type"": ""Point""}";39.46403533356796, -0.4082930380567608
258392;1;"{""coordinates"": [-0.3678969103418452, 39.44483184182731], ""type"": ""Point""}";39.44483184182731, -0.3678969103418452
258394;1;"{""coordinates"": [-0.36658010054517937, 39.45358791890475], ""type"": ""Point""}";39.45358791890475, -0.36658010054517937
258396;1;"{""coordinates"": [-0.36660046508056754, 39.49151550070192], ""type"": ""Point""}";39.49151550070192, -0.36660046508056754
258398;1;"{""coordinates"": [-0.40267269817446927, 39.540601555046926], ""type"": ""Point""}";39.540601555046926, -0.40267269817446927
258401;1;"{""coordinates"": [-0.32796570942866116, 39.48364246687932], ""type"": ""Point""}";39.48364246687932, -0.32796570942866116
258402;1;"{""coordinates"": [-0.3271637559805109, 39.482961999458794], ""type"": ""Point""}";39.482961999458794, -0.3271637559805109
258403;1;"{""coordinates"": [-0.32719256943924957, 39.48229781019808], ""type"": ""Point""}";39.48229781019808, -0.32719256943924957
258404;1;"{""coordinates"": [-0.32669782439231243, 39.4828735628101], ""type"": ""Point""}";39.4828735628101, -0.32669782439231243
258410;1;"{""coordinates"": [-0.40248240266852364, 39.4856859993256], ""type"": ""Point""}";39.4856859993256, -0.40248240266852364
258411;1;"{""coordinates"": [-0.3879617012063758, 39.483733249572055], ""type"": ""Point""}";39.483733249572055, -0.3879617012063758
258412;1;"{""coordinates"": [-0.3434683895938536, 39.4661737534028], ""type"": ""Point""}";39.4661737534028, -0.3434683895938536
258414;1;"{""coordinates"": [-0.3493826684850927, 39.46537804963883], ""type"": ""Point""}";39.46537804963883, -0.3493826684850927
258415;1;"{""coordinates"": [-0.34676451445490886, 39.46523513573938], ""type"": ""Point""}";39.46523513573938, -0.34676451445490886
258416;1;"{""coordinates"": [-0.34731771792521643, 39.4659144219072], ""type"": ""Point""}";39.4659144219072, -0.34731771792521643
258418;1;"{""coordinates"": [-0.347568018810549, 39.46727166545723], ""type"": ""Point""}";39.46727166545723, -0.347568018810549
258430;1;"{""coordinates"": [-0.379356762177195, 39.48572346731992], ""type"": ""Point""}";39.48572346731992, -0.379356762177195
258433;1;"{""coordinates"": [-0.3603690527206099, 39.4810019382399], ""type"": ""Point""}";39.4810019382399, -0.3603690527206099
258434;1;"{""coordinates"": [-0.36156804012465976, 39.48158059457022], ""type"": ""Point""}";39.48158059457022, -0.36156804012465976
258436;1;"{""coordinates"": [-0.36225015626065066, 39.47672543675805], ""type"": ""Point""}";39.47672543675805, -0.36225015626065066
258437;1;"{""coordinates"": [-0.4065913006664222, 39.47051032354637], ""type"": ""Point""}";39.47051032354637, -0.4065913006664222
258440;3;"{""coordinates"": [-0.3990002033881662, 39.47293606104309], ""type"": ""Point""}";39.47293606104309, -0.3990002033881662
258444;1;"{""coordinates"": [-0.3947605867333616, 39.469932802494114], ""type"": ""Point""}";39.469932802494114, -0.3947605867333616
258446;1;"{""coordinates"": [-0.39084848033307135, 39.46323796534071], ""type"": ""Point""}";39.46323796534071, -0.39084848033307135
258448;1;"{""coordinates"": [-0.3942082234349198, 39.461247313565494], ""type"": ""Point""}";39.461247313565494, -0.3942082234349198
258449;1;"{""coordinates"": [-0.39456609061394354, 39.46606552992571], ""type"": ""Point""}";39.46606552992571, -0.39456609061394354
258453;1;"{""coordinates"": [-0.3886282509012011, 39.4631320276957], ""type"": ""Point""}";39.4631320276957, -0.3886282509012011
258454;1;"{""coordinates"": [-0.39038488152439693, 39.454681608432104], ""type"": ""Point""}";39.454681608432104, -0.39038488152439693
258458;1;"{""coordinates"": [-0.3880044298389721, 39.455207736250266], ""type"": ""Point""}";39.455207736250266, -0.3880044298389721
258464;1;"{""coordinates"": [-0.36769485885467373, 39.45926077205168], ""type"": ""Point""}";39.45926077205168, -0.36769485885467373
258468;1;"{""coordinates"": [-0.40633067196692874, 39.541545374052475], ""type"": ""Point""}";39.541545374052475, -0.40633067196692874
258469;1;"{""coordinates"": [-0.4188209471309565, 39.500801562927556], ""type"": ""Point""}";39.500801562927556, -0.4188209471309565
258472;1;"{""coordinates"": [-0.33985397520489413, 39.422349385752156], ""type"": ""Point""}";39.422349385752156, -0.33985397520489413
258476;2;"{""coordinates"": [-0.3374307873955591, 39.467581499853125], ""type"": ""Point""}";39.467581499853125, -0.3374307873955591
258477;1;"{""coordinates"": [-0.33942667324003234, 39.46739487594789], ""type"": ""Point""}";39.46739487594789, -0.33942667324003234
258480;1;"{""coordinates"": [-0.3412504957904657, 39.466549317830186], ""type"": ""Point""}";39.466549317830186, -0.3412504957904657
258483;1;"{""coordinates"": [-0.3714590739799283, 39.49042436611454], ""type"": ""Point""}";39.49042436611454, -0.3714590739799283
258486;1;"{""coordinates"": [-0.3716393145524699, 39.486188493472085], ""type"": ""Point""}";39.486188493472085, -0.3716393145524699
258490;4;"{""coordinates"": [-0.3666130113105108, 39.49535592010823], ""type"": ""Point""}";39.49535592010823, -0.3666130113105108
258491;1;"{""coordinates"": [-0.3672647711368468, 39.495862081432556], ""type"": ""Point""}";39.495862081432556, -0.3672647711368468
258504;1;"{""coordinates"": [-0.3700953291629558, 39.49613019619576], ""type"": ""Point""}";39.49613019619576, -0.3700953291629558
258506;1;"{""coordinates"": [-0.36969156501661055, 39.4951195890671], ""type"": ""Point""}";39.4951195890671, -0.36969156501661055
258509;1;"{""coordinates"": [-0.3715098585905362, 39.49378736932984], ""type"": ""Point""}";39.49378736932984, -0.3715098585905362
258510;1;"{""coordinates"": [-0.37301340898568724, 39.49440866300205], ""type"": ""Point""}";39.49440866300205, -0.37301340898568724
258512;1;"{""coordinates"": [-0.37258522462870997, 39.49659469571395], ""type"": ""Point""}";39.49659469571395, -0.37258522462870997
258521;1;"{""coordinates"": [-0.37769475768248906, 39.49872574641799], ""type"": ""Point""}";39.49872574641799, -0.37769475768248906
258524;1;"{""coordinates"": [-0.3796372556509025, 39.49711899358418], ""type"": ""Point""}";39.49711899358418, -0.3796372556509025
258526;1;"{""coordinates"": [-0.38089875176081195, 39.49672806911473], ""type"": ""Point""}";39.49672806911473, -0.38089875176081195
258531;1;"{""coordinates"": [-0.38102201574147115, 39.497315859149595], ""type"": ""Point""}";39.497315859149595, -0.38102201574147115
258534;1;"{""coordinates"": [-0.3772246779494378, 39.49327348959581], ""type"": ""Point""}";39.49327348959581, -0.3772246779494378
258536;2;"{""coordinates"": [-0.3809944282061539, 39.49190593714325], ""type"": ""Point""}";39.49190593714325, -0.3809944282061539
258540;2;"{""coordinates"": [-0.37646174848503783, 39.49175237779684], ""type"": ""Point""}";39.49175237779684, -0.37646174848503783
258541;1;"{""coordinates"": [-0.37892847622962605, 39.49152377567252], ""type"": ""Point""}";39.49152377567252, -0.37892847622962605
258542;2;"{""coordinates"": [-0.37480833323561746, 39.49102961956408], ""type"": ""Point""}";39.49102961956408, -0.37480833323561746
258548;1;"{""coordinates"": [-0.37732765694116194, 39.49112682563153], ""type"": ""Point""}";39.49112682563153, -0.37732765694116194
258554;1;"{""coordinates"": [-0.38163432848510426, 39.48988614926828], ""type"": ""Point""}";39.48988614926828, -0.38163432848510426
258556;1;"{""coordinates"": [-0.38316804734015136, 39.48927637382556], ""type"": ""Point""}";39.48927637382556, -0.38316804734015136
258557;1;"{""coordinates"": [-0.3791457436408036, 39.48831841685592], ""type"": ""Point""}";39.48831841685592, -0.3791457436408036
258559;1;"{""coordinates"": [-0.3808289137148565, 39.48895736273874], ""type"": ""Point""}";39.48895736273874, -0.3808289137148565
258560;4;"{""coordinates"": [-0.3834032953483456, 39.488519834705684], ""type"": ""Point""}";39.488519834705684, -0.3834032953483456
258564;1;"{""coordinates"": [-0.37795283349120296, 39.48789899191855], ""type"": ""Point""}";39.48789899191855, -0.37795283349120296
258576;1;"{""coordinates"": [-0.3845117577020133, 39.48910801067983], ""type"": ""Point""}";39.48910801067983, -0.3845117577020133
258579;1;"{""coordinates"": [-0.3846532911922113, 39.48645840584897], ""type"": ""Point""}";39.48645840584897, -0.3846532911922113
258581;1;"{""coordinates"": [-0.38232661406201035, 39.48458163644304], ""type"": ""Point""}";39.48458163644304, -0.38232661406201035
258584;1;"{""coordinates"": [-0.39567590996434693, 39.493890338324285], ""type"": ""Point""}";39.493890338324285, -0.39567590996434693
258587;1;"{""coordinates"": [-0.3941214086683404, 39.49637911860913], ""type"": ""Point""}";39.49637911860913, -0.3941214086683404
258589;1;"{""coordinates"": [-0.39181966800773976, 39.49242980320639], ""type"": ""Point""}";39.49242980320639, -0.39181966800773976
258590;1;"{""coordinates"": [-0.3897027859859338, 39.49153172024103], ""type"": ""Point""}";39.49153172024103, -0.3897027859859338
258595;1;"{""coordinates"": [-0.3883803400560651, 39.492206617599294], ""type"": ""Point""}";39.492206617599294, -0.3883803400560651
